UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMANDERS,NUMBER OF SHIPS,NUMBER OF SOLDIERS
4c25bd52-6025-4867-abe5-55fe327babd5,Catalogue of ships - Il. 2.txt,Phylake,char-offset:10227,PLACE,http://pleiades.stoa.org/places/541053,"Phylake|Phylake, Filaki",-0750/0640,39.241202,22.601194,settlement,VERIFIED,Phylake,Podarkes,,
81d53d15-2c6f-4365-aab0-09034eae273d,Catalogue of ships - Il. 2.txt,Pyrasus,char-offset:10262,PLACE,http://pleiades.stoa.org/places/541081,"Demetrion?|Pyrasos|Pyrasos, Nea Anchialos|Demetrion?, Kantiraga",-0750/0640,39.27922,22.8206,settlement,VERIFIED,Phylake,Podarkes,,
ee2b20d9-b088-48fb-9b03-bb5ba35f5548,Catalogue of ships - Il. 2.txt,Iton,char-offset:10294,PLACE,http://pleiades.stoa.org/places/540842,"Iton?|Iton?, Magoula Zirilia",-0750/0640,39.164654,22.71106,temple,VERIFIED,Phylake,Podarkes,,
e2781950-c507-4920-bd9c-61e838be2375,Catalogue of ships - Il. 2.txt,Antrum,char-offset:10321,PLACE,http://pleiades.stoa.org/places/83813,Antrum,0300/0640,,,unlocated,UNVERIFIED,Phylake,Podarkes,,
cf614fab-d8d7-463d-8aee-da328f6b7322,Catalogue of ships - Il. 2.txt,Pteleum,char-offset:10346,PLACE,http://pleiades.stoa.org/places/541077,"Pteleon|Pteleon, Ftelio",-0750/0640,39.03369,22.97464,settlement,VERIFIED,Phylake,Podarkes,,
a00de7ca-9132-4913-b23e-66fb5ca3d373,Catalogue of ships - Il. 2.txt,Protesilaos,char-offset:10401,PERSON,,,,,,,,,,,
81d78f42-bd90-407f-ba16-c4cbfcdf9a65,Catalogue of ships - Il. 2.txt,Phylake,char-offset:10525,PLACE,http://pleiades.stoa.org/places/541053,"Phylake|Phylake, Filaki",-0750/0640,39.241202,22.601194,settlement,VERIFIED,Phylake,Podarkes,40,
aa4be049-d35a-44c0-bdb5-8ca48a580694,Catalogue of ships - Il. 2.txt,Podarkes,char-offset:10789,PERSON,,,,,,,,,,,
b0fdbb1b-0a42-4165-adf7-79ca98b1ccd3,Catalogue of ships - Il. 2.txt,Ares,char-offset:10814,PERSON,,,,,,,,,,,
7cb7e786-a05c-4c9f-b708-924a04448cf2,Catalogue of ships - Il. 2.txt,Iphiklos,char-offset:10851,PERSON,,,,,,,,,,,
89e890e7-080f-44e4-93c7-2da7bc681bf6,Catalogue of ships - Il. 2.txt,Phylakos,char-offset:10895,PERSON,,,,,,,,,,,
45ac28c6-9501-4f7b-9c63-28395ba43ba2,Catalogue of ships - Il. 2.txt,Protesilaos,char-offset:10931,PERSON,,,,,,,,,,,
